CustomerID,Age,Gender,Location,IncomeRange,SkinType,PurchaseFrequency,AOV,SubscriptionStatus,WebsiteVisits,EmailClicks,SocialEngagement,CustomerSegment,OrderDate,PurchaseIntervalDays,PaymentMethod,CouponUsed,Product,Returned,Rating,EmailOpenRate,SMSConversion,SocialCampaignClicks,ReferralUsed,LoyaltyProgram,NPS,FeedbackSentiment,SupportTickets
75,48,Male,Mumbai,25k-50k,Combination,2,3859,No,11,3,12,VIP,13-08-2024,9,Card,No,Moisturizer,No,1,45,16,27,No,Inactive,4,Positive,3
76,32,Male,Bangalore,<25k,Dry,3,1504,No,20,4,17,New,22-05-2024,73,Wallet,No,Moisturizer,No,5,20,13,18,Yes,Inactive,8,Positive,4
77,25,Female,Chennai,75k-100k,Oily,5,2355,No,29,9,7,New,09-11-2024,43,UPI,No,Face Wash,No,4,20,5,24,No,Inactive,10,Positive,0
78,31,Male,Hyderabad,25k-50k,Combination,2,4765,No,21,8,16,Repeat,05-03-2025,46,UPI,Yes,Conditioner,No,3,38,3,45,No,Active,4,Positive,1
79,40,Female,Delhi,75k-100k,Sensitive,2,3016,No,27,7,2,Repeat,21-06-2023,84,Wallet,Yes,Face Wash,No,3,55,10,33,No,Active,9,Negative,4
80,57,Male,Hyderabad,50k-75k,Sensitive,2,3455,Yes,13,3,19,Repeat,19-06-2023,29,Card,No,Serum,No,5,47,6,24,No,Inactive,7,Neutral,3
81,38,Male,Hyderabad,50k-75k,Oily,4,2198,No,20,1,13,Repeat,13-05-2024,62,Card,No,Conditioner,Yes,4,63,3,14,No,Inactive,2,Positive,3
82,33,Female,Hyderabad,<25k,Sensitive,7,2343,No,2,1,9,New,22-01-2024,66,Card,No,Sunscreen,No,1,51,0,34,No,Inactive,6,Neutral,4
83,62,Female,Mumbai,50k-75k,Dry,3,2899,No,5,2,6,New,07-01-2024,57,UPI,No,Sunscreen,No,5,91,0,32,No,Inactive,2,Positive,2
84,35,Male,Hyderabad,25k-50k,Sensitive,4,1638,Yes,24,6,11,VIP,24-08-2023,68,UPI,Yes,Sunscreen,No,3,72,10,33,No,Active,6,Positive,2
85,64,Female,Bangalore,<25k,Oily,6,3789,No,3,6,2,New,10-02-2023,60,UPI,No,Serum,Yes,5,68,1,24,No,Inactive,4,Negative,0
86,41,Female,Bangalore,100k+,Normal,2,1457,No,12,6,13,New,17-04-2024,79,COD,No,Sunscreen,No,1,39,3,40,Yes,Inactive,8,Neutral,2
87,43,Female,Chennai,50k-75k,Normal,4,4285,No,18,2,16,New,03-01-2025,84,Card,Yes,Moisturizer,No,5,25,13,46,No,Active,3,Positive,4
88,42,Male,Chennai,25k-50k,Dry,0,3932,Yes,14,8,19,Repeat,22-04-2024,86,COD,No,Face Wash,No,5,73,9,19,Yes,Inactive,0,Neutral,1
89,62,Female,Hyderabad,50k-75k,Normal,2,650,Yes,9,6,17,Repeat,23-11-2024,40,Wallet,Yes,Serum,No,1,86,18,41,No,Inactive,2,Positive,3
90,58,Female,Hyderabad,50k-75k,Sensitive,3,4868,Yes,6,8,14,Repeat,29-12-2023,3,Card,No,Conditioner,No,2,15,9,38,Yes,Inactive,4,Positive,2
91,46,Male,Mumbai,75k-100k,Oily,3,4044,No,23,8,1,VIP,21-06-2024,85,UPI,No,Serum,No,1,26,9,10,Yes,Inactive,3,Neutral,2
92,32,Female,Hyderabad,50k-75k,Dry,6,2996,Yes,10,6,0,Repeat,20-05-2024,3,Card,No,Serum,Yes,4,12,16,11,No,Active,4,Negative,3
93,62,Female,Hyderabad,<25k,Normal,3,4720,Yes,23,4,13,New,30-07-2023,62,Wallet,Yes,Serum,No,5,97,14,28,No,Inactive,7,Neutral,0
94,18,Female,Hyderabad,25k-50k,Sensitive,5,2625,No,25,7,9,Repeat,05-03-2025,60,Card,Yes,Serum,No,2,66,3,36,No,Active,0,Positive,4
95,42,Female,Delhi,50k-75k,Sensitive,3,3330,No,12,9,18,Repeat,06-10-2024,10,Wallet,No,Serum,No,1,72,4,13,No,Active,1,Positive,1
96,24,Male,Delhi,50k-75k,Combination,3,4967,Yes,8,2,1,Churn Risk,23-08-2023,86,Wallet,Yes,Shampoo,Yes,3,4,9,24,No,Inactive,4,Neutral,4
97,26,Male,Mumbai,50k-75k,Combination,2,3122,Yes,26,5,8,VIP,27-01-2025,43,Wallet,Yes,Conditioner,No,4,44,12,14,No,Active,3,Positive,4
98,41,Female,Mumbai,75k-100k,Oily,2,917,No,15,7,1,Churn Risk,19-08-2023,8,Wallet,No,Moisturizer,No,5,39,14,23,No,Inactive,0,Positive,3
99,18,Female,Bangalore,50k-75k,Dry,2,3152,No,6,2,15,Repeat,16-10-2023,62,Wallet,No,Shampoo,No,2,71,5,18,No,Inactive,1,Positive,4
100,61,Female,Mumbai,50k-75k,Normal,2,2633,No,5,8,13,Churn Risk,29-01-2025,54,Wallet,No,Serum,No,4,91,4,45,No,Inactive,3,Neutral,2
101,25,Female,Bangalore,75k-100k,Normal,6,570,No,15,1,11,New,31-03-2025,9,COD,Yes,Face Wash,No,5,38,16,25,No,Inactive,1,Positive,0
102,41,Male,Hyderabad,<25k,Sensitive,3,3878,No,4,0,7,New,08-04-2024,7,COD,No,Face Wash,No,4,0,6,24,No,Active,1,Positive,2
103,28,Male,Mumbai,50k-75k,Normal,0,3293,Yes,4,9,14,Repeat,09-07-2025,84,Wallet,No,Sunscreen,No,4,12,8,0,No,Inactive,6,Positive,0
104,34,Male,Mumbai,100k+,Oily,3,4859,No,12,5,10,Repeat,20-03-2025,2,Card,Yes,Moisturizer,No,1,48,5,17,No,Inactive,3,Negative,2
105,25,Male,Mumbai,50k-75k,Combination,5,3545,No,25,5,6,Repeat,28-06-2023,10,Card,No,Shampoo,No,1,9,17,35,No,Inactive,2,Neutral,4
106,52,Female,Bangalore,50k-75k,Sensitive,4,3828,Yes,14,3,1,Repeat,07-03-2024,21,Wallet,No,Shampoo,No,1,38,11,8,No,Inactive,1,Positive,0
107,52,Male,Bangalore,25k-50k,Dry,3,4684,No,16,1,12,Repeat,17-11-2024,45,COD,No,Moisturizer,No,5,87,18,36,No,Inactive,7,Neutral,4
108,50,Female,Chennai,75k-100k,Sensitive,0,3488,No,10,2,18,VIP,17-02-2023,40,Wallet,No,Shampoo,No,1,57,13,36,No,Inactive,2,Positive,3
109,22,Male,Bangalore,50k-75k,Normal,3,4130,No,13,1,17,Repeat,30-04-2024,83,UPI,Yes,Moisturizer,No,4,50,4,18,No,Active,7,Positive,1
110,59,Female,Bangalore,75k-100k,Oily,4,4211,No,22,3,7,New,19-11-2023,50,Card,No,Conditioner,No,4,77,19,19,Yes,Inactive,0,Positive,0
111,56,Female,Delhi,25k-50k,Dry,4,2866,No,21,9,19,New,28-03-2023,58,Wallet,Yes,Moisturizer,No,5,18,9,31,No,Inactive,8,Positive,2
112,58,Male,Mumbai,<25k,Sensitive,4,1245,No,6,7,4,Repeat,01-11-2023,9,UPI,Yes,Conditioner,No,5,22,0,47,Yes,Inactive,8,Negative,2
113,45,Male,Bangalore,25k-50k,Normal,5,4283,Yes,25,1,8,New,22-01-2023,43,Wallet,No,Sunscreen,No,3,49,19,35,No,Inactive,8,Positive,4
114,24,Male,Mumbai,25k-50k,Sensitive,3,4691,No,24,6,18,VIP,06-12-2024,24,Wallet,No,Shampoo,No,1,75,9,21,No,Inactive,2,Positive,3
115,26,Female,Mumbai,75k-100k,Dry,4,2250,No,8,3,19,Churn Risk,30-07-2025,81,Wallet,Yes,Sunscreen,No,3,9,17,32,No,Active,1,Positive,0
116,25,Male,Delhi,75k-100k,Normal,2,3557,No,17,5,5,New,08-11-2024,48,Wallet,No,Conditioner,No,5,29,3,13,No,Inactive,1,Positive,2
117,29,Female,Mumbai,50k-75k,Combination,3,1103,No,2,0,7,VIP,27-04-2025,43,COD,No,Moisturizer,No,5,43,4,45,Yes,Inactive,9,Neutral,1
118,51,Other,Bangalore,<25k,Dry,1,3015,No,25,0,0,Repeat,13-08-2023,53,Wallet,No,Face Wash,No,1,65,6,20,Yes,Inactive,1,Negative,1
119,50,Female,Mumbai,25k-50k,Combination,3,1140,Yes,8,6,5,Repeat,04-11-2023,47,Wallet,No,Serum,No,3,50,5,6,No,Active,1,Positive,1
120,40,Male,Chennai,50k-75k,Combination,1,925,No,2,6,11,New,12-07-2023,86,Wallet,No,Moisturizer,No,2,65,16,4,No,Inactive,5,Positive,3
121,41,Female,Chennai,25k-50k,Normal,3,4539,No,13,6,0,Repeat,09-10-2024,23,Wallet,No,Serum,No,1,48,14,1,No,Inactive,10,Neutral,1
122,54,Male,Delhi,75k-100k,Sensitive,3,2526,No,28,2,0,Repeat,23-12-2024,45,UPI,No,Conditioner,No,2,41,9,16,No,Inactive,3,Neutral,3
123,52,Female,Bangalore,<25k,Sensitive,1,1993,Yes,28,5,12,New,04-12-2024,78,UPI,No,Face Wash,No,1,24,10,26,No,Inactive,4,Negative,3
124,61,Female,Delhi,50k-75k,Oily,1,3946,No,27,9,11,VIP,27-06-2025,82,Wallet,No,Moisturizer,No,4,23,5,46,No,Inactive,5,Negative,0
125,57,Female,Chennai,75k-100k,Dry,6,3284,No,19,7,13,New,02-11-2023,47,COD,No,Conditioner,Yes,4,86,9,0,Yes,Inactive,5,Positive,4
126,39,Male,Bangalore,50k-75k,Dry,5,1355,No,4,7,3,New,05-06-2023,29,UPI,Yes,Shampoo,No,2,90,1,30,No,Inactive,4,Positive,4
127,44,Male,Mumbai,75k-100k,Normal,2,2183,No,15,7,10,Repeat,14-02-2025,62,UPI,Yes,Shampoo,No,5,86,3,4,No,Inactive,6,Negative,0
128,52,Male,Bangalore,75k-100k,Normal,2,1684,No,25,9,11,Repeat,13-07-2024,41,Card,No,Moisturizer,No,3,63,9,15,No,Inactive,5,Positive,4
129,18,Female,Hyderabad,50k-75k,Oily,2,3148,No,27,6,17,Repeat,04-03-2024,45,COD,No,Shampoo,No,1,13,5,1,No,Inactive,8,Positive,2
130,52,Male,Bangalore,50k-75k,Oily,3,3223,No,21,3,3,Repeat,21-08-2024,29,Card,Yes,Shampoo,No,4,41,0,0,No,Inactive,3,Positive,4
131,54,Other,Mumbai,25k-50k,Combination,4,3771,No,27,4,5,Repeat,24-09-2023,59,Wallet,No,Conditioner,No,1,26,17,41,No,Active,0,Neutral,3
132,64,Female,Hyderabad,75k-100k,Oily,0,3267,No,26,5,10,New,30-01-2024,82,UPI,No,Sunscreen,No,4,65,7,20,No,Inactive,7,Neutral,4
133,31,Female,Delhi,50k-75k,Sensitive,4,3598,No,25,0,1,VIP,27-05-2025,55,UPI,Yes,Serum,No,4,3,16,0,No,Inactive,9,Negative,4
134,20,Male,Bangalore,75k-100k,Combination,5,4000,Yes,25,1,11,Repeat,17-06-2023,1,COD,Yes,Conditioner,No,5,30,2,2,No,Inactive,9,Neutral,1
135,18,Female,Delhi,50k-75k,Oily,2,4669,No,17,5,0,Repeat,31-12-2023,89,Wallet,Yes,Sunscreen,No,5,91,14,40,No,Active,8,Positive,0
136,22,Female,Bangalore,25k-50k,Sensitive,3,3979,No,26,2,18,Repeat,19-01-2025,62,Wallet,No,Sunscreen,No,3,84,4,23,No,Inactive,8,Neutral,2
137,43,Female,Chennai,100k+,Sensitive,2,3602,Yes,27,2,14,Repeat,13-04-2024,24,Wallet,Yes,Conditioner,No,1,3,10,0,No,Inactive,10,Positive,3
138,31,Male,Chennai,25k-50k,Combination,1,774,No,5,3,16,New,11-03-2025,10,Card,No,Face Wash,No,4,87,11,1,No,Inactive,2,Neutral,3
139,56,Male,Mumbai,100k+,Combination,2,1323,No,18,0,10,VIP,29-09-2023,44,Card,Yes,Face Wash,No,4,21,4,28,No,Active,4,Positive,1
140,44,Male,Chennai,25k-50k,Sensitive,3,3473,No,12,4,16,New,17-06-2023,26,UPI,Yes,Moisturizer,No,2,18,19,47,No,Inactive,3,Positive,3
141,26,Female,Hyderabad,50k-75k,Normal,3,3532,No,6,7,9,New,18-09-2023,34,COD,No,Face Wash,No,3,91,0,11,No,Inactive,0,Positive,3
142,32,Female,Hyderabad,50k-75k,Combination,4,3916,No,8,7,6,New,14-10-2023,4,COD,Yes,Serum,No,2,33,19,26,No,Inactive,7,Positive,1
143,32,Female,Bangalore,100k+,Dry,4,2410,No,28,6,4,VIP,30-11-2023,13,Card,No,Moisturizer,No,1,54,0,34,Yes,Active,8,Positive,0
144,43,Male,Delhi,75k-100k,Normal,6,3497,No,20,6,19,VIP,29-07-2024,5,UPI,No,Shampoo,No,5,41,16,16,No,Active,9,Negative,3
145,59,Male,Hyderabad,75k-100k,Dry,1,1992,Yes,23,3,14,New,29-10-2023,48,Wallet,No,Shampoo,No,3,59,6,27,No,Active,3,Positive,0
146,30,Male,Bangalore,50k-75k,Oily,5,1823,No,21,8,4,VIP,17-04-2025,73,Wallet,Yes,Conditioner,No,4,54,19,24,No,Inactive,9,Positive,4
147,49,Male,Delhi,<25k,Combination,5,4405,No,7,5,1,Churn Risk,05-06-2023,80,UPI,No,Conditioner,No,2,9,5,44,Yes,Active,9,Positive,4
148,56,Male,Chennai,50k-75k,Combination,3,702,No,19,1,6,New,02-07-2025,87,COD,Yes,Moisturizer,No,4,56,3,18,No,Inactive,2,Negative,2
149,49,Female,Bangalore,50k-75k,Sensitive,6,3148,No,22,4,10,Repeat,30-05-2023,72,UPI,No,Moisturizer,No,1,29,12,6,Yes,Inactive,4,Positive,2
150,21,Female,Delhi,75k-100k,Combination,7,3028,No,11,6,4,Repeat,11-03-2023,48,COD,No,Sunscreen,No,5,71,1,6,Yes,Inactive,5,Negative,4
151,47,Female,Mumbai,75k-100k,Dry,4,2652,Yes,8,7,1,Repeat,12-01-2024,35,UPI,No,Sunscreen,No,1,58,1,31,No,Inactive,4,Positive,1
152,54,Male,Mumbai,50k-75k,Normal,3,4174,No,27,6,15,Repeat,28-11-2023,65,Card,No,Conditioner,No,1,13,2,22,No,Active,3,Negative,1
153,40,Male,Hyderabad,75k-100k,Oily,5,1217,No,22,9,6,VIP,05-05-2023,26,UPI,Yes,Conditioner,No,2,29,12,10,No,Inactive,2,Neutral,4
154,56,Female,Delhi,75k-100k,Normal,3,4394,No,17,2,19,VIP,01-05-2024,29,Wallet,Yes,Moisturizer,No,2,36,0,7,No,Inactive,4,Neutral,2
155,62,Female,Mumbai,100k+,Dry,6,1586,No,20,4,7,Churn Risk,29-01-2025,36,Card,Yes,Serum,No,3,89,7,8,No,Inactive,1,Positive,2
156,32,Male,Hyderabad,50k-75k,Oily,1,4700,No,24,8,6,Repeat,03-11-2023,61,Card,No,Face Wash,No,5,18,6,22,No,Inactive,7,Positive,1
